year,prtp,scc
2033,0.0475,30.022535
2034,0.0475,31.031914
2035,0.0475,32.063374
2036,0.0475,33.115738
2037,0.0475,34.182808
2038,0.0475,35.251026
2039,0.0475,36.299614
2040,0.0475,37.297928
2041,0.0475,38.196125
2042,0.0475,38.991077
2043,0.0475,39.742867
2044,0.0475,40.48164
2045,0.0475,41.19144
2046,0.0475,41.870533
2047,0.0475,42.524033
2048,0.0475,43.158993
2049,0.0475,43.790466
2050,0.0475,44.436916
2023,0.05,19.40208
2024,0.05,20.094456
2025,0.05,20.812363
2026,0.05,21.559963
2027,0.05,22.339056
2028,0.05,23.148556
2029,0.05,23.9852
2030,0.05,24.844095
2031,0.05,25.724936
2032,0.05,26.635046
2033,0.05,27.572857
2034,0.05,28.535343
2035,0.05,29.520382
2036,0.05,30.526964
2037,0.05,31.549082
2038,0.05,32.57337
2039,0.05,33.579227
2040,0.05,34.53609
2041,0.05,35.39407
2042,0.05,36.14958
2043,0.05,36.862255
2044,0.05,37.562218
2045,0.05,38.23351
2046,0.05,38.8743
2047,0.05,39.48961
2048,0.05,40.086384
2049,0.05,40.679546
2050,0.05,41.287476
2023,0.0525,17.68673
2024,0.0525,18.3374
2025,0.0525,19.013199
2026,0.0525,19.71831
2027,0.0525,20.45459
2028,0.0525,21.221022
2029,0.0525,22.014423
2030,0.0525,22.830818
2031,0.0525,23.668268
2032,0.0525,24.535004
2033,0.0525,25.429577
2034,0.0525,26.34911
2035,0.0525,27.291632
2036,0.0525,28.256292
2037,0.0525,29.23728
2038,0.0525,30.221428
2039,0.0525,31.1883
2040,0.0525,32.10743
2041,0.0525,32.92888
2042,0.0525,33.648636
2043,0.0525,34.325874
2044,0.0525,34.990692
2045,0.0525,35.627125
2046,0.0525,36.23326
2047,0.0525,36.814022
2048,0.0525,37.376236
2049,0.0525,37.934696
2050,0.0525,38.507717
2023,0.055,16.191383
2024,0.055,16.803993
2025,0.055,17.441309
2026,0.055,18.107548
2027,0.055,18.804615
2028,0.055,19.53156
2029,0.055,20.285286
2030,0.055,21.062653
2031,0.055,21.860239
2032,0.055,22.6871
2033,0.055,23.541906
2034,0.055,24.421928
2035,0.055,25.325338
2036,0.055,26.25145
2037,0.055,27.194641
2038,0.055,28.141943
2039,0.055,29.073095
2040,0.055,29.95773
2041,0.055,30.745874
2042,0.055,31.433079
2043,0.055,32.07808
2044,0.055,32.71095
2045,0.055,33.315712
2046,0.055,33.890373
2047,0.055,34.43976
